Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
ONECUT2	ENST00000491143.2	one cut homeobox 2 	847	13	8	2	3	7	0	4	3	3	hsa-miR-9-5p	-5.06	-5.98	> 0.99	2003, 2007, 2009, 2011
YBX3	ENST00000279550.7	Y box binding protein 3 	631	2	2	0	0	0	0	0	0	0	hsa-miR-9-5p	-1.23	-1.25	0.92	2005, 2007, 2009, 2011
LYVE1	ENST00000256178.3	lymphatic vessel endothelial hyaluronan receptor 1 	5	1	1	0	0	3	1	1	1	2	hsa-miR-9-5p	-1.15	-1.15	0.50	2009, 2011
POU2F1	ENST00000367866.2	POU class 2 homeobox 1 	83	6	4	2	0	3	0	2	1	5	hsa-miR-9-5p	-1.11	-1.20	> 0.99	2011
ONECUT1	ENST00000560699.2	one cut homeobox 1 	10	13	8	4	1	2	0	1	1	2	hsa-miR-9-5p	-1.09	-4.60	> 0.99	2003, 2005, 2007, 2009, 2011
SLC50A1	ENST00000368404.4	solute carrier family 50 (sugar efflux transporter), member 1 	3317	2	2	0	0	0	0	0	0	0	hsa-miR-9-5p	-0.95	-0.95	0.98	2007, 2009, 2011
POU6F2	ENST00000518318.2	POU class 6 homeobox 2 	5	4	0	3	1	0	0	0	0	2	hsa-miR-9-5p	-0.78	-0.78	> 0.99	
TRPM7	ENST00000560955.1	transient receptor potential cation channel, subfamily M, member 7 	281	2	0	1	1	0	0	0	0	3	hsa-miR-9-5p	-0.77	-1.36	0.99	2005, 2007, 2009, 2011
AP1S2	ENST00000329235.2	adaptor-related protein complex 1, sigma 2 subunit 	357	2	1	0	1	0	0	0	0	0	hsa-miR-9-5p	-0.71	-0.71	0.99	2005, 2007, 2009, 2011
PDK4	ENST00000005178.5	pyruvate dehydrogenase kinase, isozyme 4 	5549	1	1	0	0	0	0	0	0	2	hsa-miR-9-5p	-0.66	-0.66	0.77	2005, 2007, 2009, 2011
LDLRAP1	ENST00000374338.4	low density lipoprotein receptor adaptor protein 1 	111	3	1	2	0	0	0	0	0	1	hsa-miR-9-5p	-0.65	-0.65	> 0.99	2011
CTNNA1	ENST00000518825.1	catenin (cadherin-associated protein), alpha 1, 102kDa 	2009	1	1	0	0	1	1	0	0	0	hsa-miR-9-5p	-0.65	-0.68	0.75	2009, 2011
C2ORF15	ENST00000302513.2	Uncharacterized protein C2orf15  	166	1	1	0	0	1	0	1	0	0	hsa-miR-9-5p	-0.64	-0.76	< 0.1	2009, 2011
KCNJ2	ENST00000243457.3	potassium inwardly-rectifying channel, subfamily J, member 2 	5	2	2	0	0	0	0	0	0	1	hsa-miR-9-5p	-0.62	-0.62	0.99	2011
SGMS2	ENST00000394684.4	sphingomyelin synthase 2 	111	3	0	1	2	0	0	0	0	1	hsa-miR-9-5p	-0.61	-0.65	> 0.99	2009, 2011
MTHFD2	ENST00000394053.2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase 	330	2	1	1	0	2	0	0	2	1	hsa-miR-9-5p	-0.60	-0.77	> 0.99	2005, 2007, 2009, 2011
FRMD6	ENST00000395718.2	FERM domain containing 6 	508	2	0	1	1	0	0	0	0	1	hsa-miR-9-5p	-0.59	-0.61	0.95	2007, 2009, 2011
FSTL1	ENST00000295633.3	follistatin-like 1 	6788	1	0	1	0	1	1	0	0	0	hsa-miR-9-5p	-0.59	-0.62	0.87	2005, 2007, 2009, 2011
RIC3	ENST00000396677.2	RIC3 acetylcholine receptor chaperone 	5	1	0	1	0	2	0	0	2	0	hsa-miR-9-5p	-0.58	-0.58	0.91	
LIN28B	ENST00000345080.4	lin-28 homolog B (C. elegans) 	118	3	0	3	0	0	0	0	0	0	hsa-miR-9-5p	-0.58	-0.58	> 0.99	2007, 2009, 2011
PRDM6	ENST00000407847.4	PR domain containing 6 	69	2	1	1	0	0	0	0	0	1	hsa-miR-9-5p	-0.58	-0.58	> 0.99	2011
RAB34	ENST00000447716.1	RAB34, member RAS oncogene family 	880	1	1	0	0	1	0	0	1	0	hsa-miR-9-5p	-0.58	-0.58	0.88	2005, 2007, 2009, 2011
SLC31A2	ENST00000259392.3	solute carrier family 31 (copper transporter), member 2 	110	2	0	1	1	1	0	1	0	0	hsa-miR-9-5p	-0.57	-0.60	0.93	2003, 2005, 2007, 2009, 2011
ANK2	ENST00000357077.4	ankyrin 2, neuronal 	133	1	1	0	0	0	0	0	0	0	hsa-miR-9-5p	-0.57	-0.57	0.91	2011
SFXN2	ENST00000369893.5	sideroflexin 2 	547	2	2	0	0	0	0	0	0	4	hsa-miR-9-5p	-0.56	-0.56	0.98	2003, 2007, 2009, 2011
RNF146	ENST00000356799.2	ring finger protein 146 	1504	1	1	0	0	1	0	1	0	1	hsa-miR-9-5p	-0.56	-0.67	< 0.1	
C9orf89	ENST00000375464.2	chromosome 9 open reading frame 89 	435	1	1	0	0	0	0	0	0	0	hsa-miR-9-5p	-0.56	-0.56	0.68	2009, 2011
CLDN14	ENST00000399139.1	claudin 14 	121	1	1	0	0	0	0	0	0	0	hsa-miR-9-5p	-0.55	-0.55	0.85	2009, 2011
C2orf88	ENST00000340623.4	chromosome 2 open reading frame 88 	156	1	1	0	0	1	0	0	1	0	hsa-miR-9-5p	-0.55	-0.56	0.94	2007, 2009, 2011
CXCL11	ENST00000306621.3	chemokine (C-X-C motif) ligand 11 	5	1	1	0	0	0	0	0	0	1	hsa-miR-9-5p	-0.54	-0.54	< 0.1	2009, 2011
SOCS5	ENST00000306503.5	suppressor of cytokine signaling 5 	72	2	1	1	0	2	1	0	1	2	hsa-miR-9-5p	-0.54	-0.58	> 0.99	2005, 2007, 2009, 2011
VAV3	ENST00000370056.4	vav 3 guanine nucleotide exchange factor 	1128	1	1	0	0	0	0	0	0	0	hsa-miR-9-5p	-0.54	-0.55	0.95	2005, 2007, 2009, 2011
RANBP17	ENST00000523189.1	RAN binding protein 17 	156	1	1	0	0	0	0	0	0	0	hsa-miR-9-5p	-0.53	-0.53	0.94	2005, 2007, 2009, 2011
MESDC1	ENST00000267984.2	mesoderm development candidate 1 	84	1	1	0	0	0	0	0	0	0	hsa-miR-9-5p	-0.53	-0.53	0.96	2005, 2007, 2009, 2011
MDGA2	ENST00000426342.1	MAM domain containing glycosylphosphatidylinositol anchor 2 	5	2	2	0	0	0	0	0	0	0	hsa-miR-9-5p	-0.53	-0.53	0.92	2005, 2007, 2009, 2011
MAGT1	ENST00000358075.6	magnesium transporter 1 	937	1	1	0	0	1	0	0	1	1	hsa-miR-9-5p	-0.52	-0.56	0.96	2011
FAM83B	ENST00000306858.7	family with sequence similarity 83, member B 	140	1	1	0	0	1	0	0	1	1	hsa-miR-9-5p	-0.51	-0.54	0.18	
CCNDBP1	ENST00000300213.4	cyclin D-type binding-protein 1 	1136	1	1	0	0	0	0	0	0	2	hsa-miR-9-5p	-0.51	-0.55	< 0.1	2009, 2011
TGFBI	ENST00000442011.2	transforming growth factor, beta-induced, 68kDa 	6307	1	1	0	0	0	0	0	0	0	hsa-miR-9-5p	-0.51	-0.58	0.75	2005, 2007, 2009, 2011
GALNT3	ENST00000392701.3	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3) 	40	1	1	0	0	0	0	0	0	1	hsa-miR-9-5p	-0.51	-0.51	0.95	2005, 2007, 2009, 2011
FAM46D	ENST00000538312.1	family with sequence similarity 46, member D 	5	1	1	0	0	0	0	0	0	0	hsa-miR-9-5p	-0.50	-0.50	0.88	2009, 2011
GABRB2	ENST00000393959.1	gamma-aminobutyric acid (GABA) A receptor, beta 2 	5	2	1	1	0	2	0	1	1	0	hsa-miR-9-5p	-0.50	-0.50	0.98	2007, 2009, 2011
PPCS	ENST00000372556.3	phosphopantothenoylcysteine synthetase 	491	1	1	0	0	0	0	0	0	1	hsa-miR-9-5p	-0.50	-0.50	ORF	
CAPZA1	ENST00000263168.3	capping protein (actin filament) muscle Z-line, alpha 1 	1159	2	0	1	1	0	0	0	0	0	hsa-miR-9-5p	-0.49	-0.49	0.98	2005, 2007, 2009, 2011
TNC	ENST00000340094.3	tenascin C 	4571	2	1	1	0	1	0	1	0	0	hsa-miR-9-5p	-0.49	-0.51	> 0.99	2009, 2011
SLC10A3	ENST00000369649.4	solute carrier family 10, member 3 	433	1	0	1	0	1	0	0	1	0	hsa-miR-9-5p	-0.49	-0.49	0.75	2005, 2007, 2009, 2011
TESK2	ENST00000372084.1	testis-specific kinase 2 	11	1	1	0	0	0	0	0	0	0	hsa-miR-9-5p	-0.49	-0.49	0.95	2005, 2007, 2009, 2011
POU2F2	ENST00000342301.4	POU class 2 homeobox 2 	5	2	1	1	0	1	0	0	1	3	hsa-miR-9-5p	-0.49	-1.44	0.72	2007, 2009
STK3	ENST00000419617.2	serine/threonine kinase 3 	25	1	1	0	0	0	0	0	0	1	hsa-miR-9-5p	-0.49	-0.49	0.85	2005, 2007, 2009, 2011
CCNG1	ENST00000340828.2	cyclin G1 	1547	1	1	0	0	0	0	0	0	1	hsa-miR-9-5p	-0.48	-0.50	0.94	2005, 2007, 2009, 2011
IPO4	ENST00000354464.6	importin 4 	811	1	1	0	0	0	0	0	0	0	hsa-miR-9-5p	-0.48	-0.48	0.87	2007, 2009, 2011
FBN1	ENST00000316623.5	fibrillin 1 	798	2	1	1	0	1	0	1	0	0	hsa-miR-9-5p	-0.48	-0.49	0.97	2005, 2007, 2009, 2011
