Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
ZBTB18	ENST00000358704.4	zinc finger and BTB domain containing 18 	935	2	2	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.93	-0.95	> 0.99	2005, 2007, 2009, 2011
RORB	ENST00000376896.3	RAR-related orphan receptor B 	5	3	3	0	0	2	0	0	2	3	hsa-miR-219a-5p	-0.91	-0.91	> 0.99	2005, 2007, 2009, 2011
GXYLT1	ENST00000398675.3	glucoside xylosyltransferase 1 	126	2	1	1	0	2	0	0	2	0	hsa-miR-219a-5p	-0.82	-0.82	> 0.99	2009, 2011
CD164	ENST00000368961.5	CD164 molecule, sialomucin 	2038	1	1	0	0	1	1	0	0	0	hsa-miR-219a-5p	-0.70	-0.88	0.18	2005, 2007, 2009, 2011
RASSF3	ENST00000542104.1	Ras association (RalGDS/AF-6) domain family member 3 	461	1	1	0	0	1	1	0	0	0	hsa-miR-219a-5p	-0.65	-0.69	0.81	2011
RBM24	ENST00000379052.5	RNA binding motif protein 24 	43	1	1	0	0	1	0	0	1	0	hsa-miR-219a-5p	-0.63	-0.63	0.84	2005, 2007, 2009, 2011
CTD-2330K9.3	ENST00000419183.1	Uncharacterized protein  	5	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.62	-0.62	< 0.1	
EYA1	ENST00000388742.4	eyes absent homolog 1 (Drosophila) 	222	1	1	0	0	0	0	0	0	1	hsa-miR-219a-5p	-0.60	-0.61	0.84	2005, 2007, 2009, 2011
T	ENST00000296946.2	T, brachyury homolog (mouse) 	23	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.60	-0.60	0.86	2005, 2007, 2009, 2011
FOXJ3	ENST00000372571.1	forkhead box J3 	329	1	1	0	0	0	0	0	0	1	hsa-miR-219a-5p	-0.59	-0.59	0.93	2005, 2007, 2009, 2011
CC2D1A	ENST00000318003.7	coiled-coil and C2 domain containing 1A 	22	2	1	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.59	-0.59	0.90	2007, 2009, 2011
TMEM98	ENST00000579849.1	transmembrane protein 98 	98	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.58	-0.59	0.89	2009, 2011
SNRK	ENST00000429705.2	SNF related kinase 	153	2	0	2	0	0	0	0	0	0	hsa-miR-219a-5p	-0.58	-0.58	0.94	2005, 2007, 2009, 2011
DOK6	ENST00000382713.5	docking protein 6 	8	1	1	0	0	1	0	0	1	1	hsa-miR-219a-5p	-0.56	-0.56	0.80	2011
CCDC28A	ENST00000332797.6	coiled-coil domain containing 28A 	543	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.53	-0.53	< 0.1	2007, 2009, 2011
ELMOD2	ENST00000323570.3	ELMO/CED-12 domain containing 2 	32	2	1	1	0	0	0	0	0	1	hsa-miR-219a-5p	-0.53	-0.82	0.99	2005, 2007, 2009, 2011
PI4KA	ENST00000255882.6	phosphatidylinositol 4-kinase, catalytic, alpha 	5	1	1	0	0	1	0	0	1	0	hsa-miR-219a-5p	-0.52	-0.52	0.87	2009, 2011
GBA2	ENST00000378103.3	glucosidase, beta (bile acid) 2 	19	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.51	-0.51	0.79	2005, 2007, 2009, 2011
OTX2	ENST00000339475.5	orthodenticle homeobox 2 	5	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.50	-0.50	0.91	2005, 2007, 2009, 2011
ISL1	ENST00000230658.7	ISL LIM homeobox 1 	67	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.49	-0.49	0.90	2005, 2007, 2009, 2011
CRLF3	ENST00000324238.6	cytokine receptor-like factor 3 	5	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.49	-0.49	0.93	2009, 2011
CXXC5	ENST00000302517.3	CXXC finger protein 5 	1285	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.49	-0.50	0.89	2005, 2007
LEF1	ENST00000265165.1	lymphoid enhancer-binding factor 1 	104	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.48	-0.48	0.93	2009, 2011
TSC22D2	ENST00000361875.3	TSC22 domain family, member 2 	1062	1	1	0	0	1	0	1	0	0	hsa-miR-219a-5p	-0.48	-0.51	0.93	2005, 2007, 2009, 2011
GBP5	ENST00000343435.5	guanylate binding protein 5 	5	1	1	0	0	1	0	1	0	0	hsa-miR-219a-5p	-0.48	-0.48	< 0.1	2011
FGFR1OP	ENST00000366847.4	FGFR1 oncogene partner 	552	1	1	0	0	0	0	0	0	2	hsa-miR-219a-5p	-0.48	-0.48	0.93	2009, 2011
DAZAP1	ENST00000336761.6	DAZ associated protein 1 	3500	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.48	-0.48	0.88	2005, 2007, 2009, 2011
LAPTM4A	ENST00000175091.4	lysosomal protein transmembrane 4 alpha 	4481	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.47	-0.48	0.68	2005, 2007, 2009, 2011
KCNA4	ENST00000328224.6	potassium voltage-gated channel, shaker-related subfamily, member 4 	5	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.47	-0.47	0.88	2011
ELOVL7	ENST00000508821.1	ELOVL fatty acid elongase 7 	52	1	1	0	0	0	0	0	0	1	hsa-miR-219a-5p	-0.47	-0.47	0.93	2007, 2009, 2011
CGNL1	ENST00000281282.5	cingulin-like 1 	25	1	1	0	0	1	1	0	0	0	hsa-miR-219a-5p	-0.46	-0.46	0.93	2005, 2007, 2009, 2011
MFNG	ENST00000416983.3	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase 	14	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.44	-0.44	0.15	2005, 2007, 2011
COL9A1	ENST00000357250.6	collagen, type IX, alpha 1 	9	1	1	0	0	0	0	0	0	1	hsa-miR-219a-5p	-0.44	-0.45	0.67	2009
SIX3	ENST00000260653.3	SIX homeobox 3 	15	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.44	-0.52	0.89	2011
UBASH3B	ENST00000284273.5	ubiquitin associated and SH3 domain containing B 	281	1	1	0	0	1	0	0	1	1	hsa-miR-219a-5p	-0.43	-0.44	0.93	2005, 2007, 2009, 2011
ZNF697	ENST00000421812.2	zinc finger protein 697 	43	1	0	1	0	3	0	1	2	1	hsa-miR-219a-5p	-0.43	-0.45	0.81	2007, 2009, 2011
SPPL2A	ENST00000261854.5	signal peptide peptidase like 2A 	240	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.43	-0.43	0.71	
PARM1	ENST00000513238.1	prostate androgen-regulated mucin-like protein 1 	161	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.43	-0.45	0.88	2009, 2011
INPP5J	ENST00000331075.5	inositol polyphosphate-5-phosphatase J 	70	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.42	-0.42	0.48	2005, 2007, 2009, 2011
CACNB3	ENST00000301050.2	calcium channel, voltage-dependent, beta 3 subunit 	41	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.42	-0.42	0.74	2009, 2011
ROR1	ENST00000371079.1	receptor tyrosine kinase-like orphan receptor 1 	80	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.42	-0.42	0.93	
RAB35	ENST00000534951.1	RAB35, member RAS oncogene family 	1051	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.42	-0.42	0.91	2009, 2011
RECK	ENST00000377966.3	reversion-inducing-cysteine-rich protein with kazal motifs 	10	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.41	-0.41	0.92	2005, 2007, 2009, 2011
DNAJC6	ENST00000395325.3	DnaJ (Hsp40) homolog, subfamily C, member 6 	96	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.41	-0.41	0.90	2005, 2007, 2009, 2011
FBXO30	ENST00000237281.4	F-box protein 30 	224	2	1	1	0	1	0	0	1	1	hsa-miR-219a-5p	-0.40	-0.41	0.53	2011
TMX4	ENST00000246024.2	thioredoxin-related transmembrane protein 4 	466	1	1	0	0	0	0	0	0	2	hsa-miR-219a-5p	-0.39	-0.39	0.93	2009, 2011
MECOM	ENST00000460814.1	MDS1 and EVI1 complex locus 	138	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.39	-0.40	0.91	2009, 2011
HES5	ENST00000378453.3	hairy and enhancer of split 5 (Drosophila) 	5	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.38	-0.38	< 0.1	2011
SLC41A1	ENST00000367137.3	solute carrier family 41 (magnesium transporter), member 1 	300	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.38	-0.38	0.93	2009, 2011
NCOA1	ENST00000405141.1	nuclear receptor coactivator 1 	200	2	0	1	1	0	0	0	0	0	hsa-miR-219a-5p	-0.38	-0.38	0.89	2005, 2007, 2009, 2011
