Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
CTDSP1	ENST00000273062.2	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1 	1299	4	0	4	0	0	0	0	0	0	rno-miR-124-3p	-1.45	-1.46	> 0.99	2007, 2009, 2011
LRRC58	ENST00000295628.3	leucine rich repeat containing 58 	940	3	1	1	1	1	0	1	0	2	rno-miR-124-3p	-1.18	-1.20	> 0.99	2009, 2011
SLC10A7	ENST00000264986.3	solute carrier family 10, member 7 	77	2	1	1	0	0	0	0	0	2	rno-miR-124-3p	-1.05	-1.05	0.98	2007, 2009, 2011
VAMP3	ENST00000054666.6	vesicle-associated membrane protein 3 	515	3	1	2	0	0	0	0	0	1	rno-miR-124-3p	-0.96	-1.51	> 0.99	2007, 2009, 2011
B4GALT1	ENST00000379731.4	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1 	2265	2	1	1	0	1	1	0	0	2	rno-miR-124-3p	-0.90	-1.01	0.99	2007, 2009, 2011
RNPEPL1	ENST00000270357.4	arginyl aminopeptidase (aminopeptidase B)-like 1 	239	2	1	1	0	1	0	0	1	1	rno-miR-124-3p	-0.88	-0.89	> 0.99	
RHOG	ENST00000351018.4	ras homolog family member G 	58	2	1	1	0	1	0	0	1	1	rno-miR-124-3p	-0.88	-0.88	0.91	2007, 2009, 2011
TRIB3	ENST00000217233.3	tribbles pseudokinase 3 	730	1	0	1	0	2	0	2	0	2	rno-miR-124-3p	-0.87	-0.88	0.91	2007, 2009, 2011
SEPT10	ENST00000397712.2	septin 10 	50	1	1	0	0	1	0	1	0	1	rno-miR-124-3p	-0.86	-0.86	0.20	2007, 2009, 2011
SERP1	ENST00000239944.2	stress-associated endoplasmic reticulum protein 1 	3242	2	1	1	0	0	0	0	0	1	rno-miR-124-3p	-0.84	-0.95	> 0.99	2007, 2009, 2011
CEBPA	ENST00000498907.2	CCAAT/enhancer binding protein (C/EBP), alpha 	12449	3	0	3	0	0	0	0	0	0	rno-miR-124-3p	-0.83	-0.83	> 0.99	2011
KIAA0247	ENST00000342745.4	KIAA0247 	161	3	1	1	1	0	0	0	0	1	rno-miR-124-3p	-0.79	-0.79	> 0.99	
WASF2	ENST00000536657.1	WAS protein family, member 2 	311	1	0	1	0	3	2	1	0	2	rno-miR-124-3p	-0.79	-0.81	0.93	2011
SNAI2	ENST00000020945.1	snail family zinc finger 2 	1233	2	1	1	0	0	0	0	0	0	rno-miR-124-3p	-0.78	-0.78	0.96	
AL626787.1	ENST00000595430.1		5	2	1	0	1	0	0	0	0	2	rno-miR-124-3p	-0.78	-0.78	> 0.99	
SERINC2	ENST00000373709.3	serine incorporator 2 	624	1	1	0	0	1	0	1	0	0	rno-miR-124-3p	-0.78	-0.78	0.88	2007, 2009, 2011
FLOT2	ENST00000394906.2	flotillin 2 	37	2	1	1	0	1	0	0	1	1	rno-miR-124-3p	-0.77	-0.77	> 0.99	2007, 2009, 2011
PDCD6	ENST00000505221.1	programmed cell death 6 	4780	1	1	0	0	0	0	0	0	0	rno-miR-124-3p	-0.76	-0.77	0.95	2007, 2009, 2011
CHIC1	ENST00000373504.6	cysteine-rich hydrophobic domain 1 	16	4	0	3	1	0	0	0	0	2	rno-miR-124-3p	-0.76	-0.91	> 0.99	2007, 2009, 2011
PSKH1	ENST00000291041.5	protein serine kinase H1 	699	1	1	0	0	3	0	2	1	0	rno-miR-124-3p	-0.75	-0.76	0.59	2007, 2009, 2011
APLN	ENST00000307484.6	apelin 	48	1	0	1	0	2	0	1	1	2	rno-miR-124-3p	-0.74	-0.79	0.85	2007, 2009, 2011
PTPN12	ENST00000248594.6	protein tyrosine phosphatase, non-receptor type 12 	167	3	0	1	2	0	0	0	0	0	rno-miR-124-3p	-0.73	-0.73	> 0.99	2007, 2009, 2011
SLITRK6	ENST00000400286.2	SLIT and NTRK-like family, member 6 	5	2	1	1	0	0	0	0	0	0	rno-miR-124-3p	-0.73	-0.73	0.96	2007, 2009, 2011
OAF	ENST00000328965.4	OAF homolog (Drosophila) 	1447	1	0	1	0	2	0	2	0	0	rno-miR-124-3p	-0.73	-1.01	0.94	2007, 2009, 2011
RAB34	ENST00000447716.1	RAB34, member RAS oncogene family 	880	1	1	0	0	0	0	0	0	0	rno-miR-124-3p	-0.72	-0.72	0.73	2007, 2009, 2011
IAPP	ENST00000240652.3	islet amyloid polypeptide 	5	1	0	1	0	1	0	0	1	0	rno-miR-124-3p	-0.69	-0.69	0.91	2009, 2011
FZD4	ENST00000531380.1	frizzled family receptor 4 	5	2	0	2	0	3	0	1	2	3	rno-miR-124-3p	-0.68	-0.68	0.98	2007, 2009, 2011
FOXQ1	ENST00000296839.2	forkhead box Q1 	181	1	1	0	0	0	0	0	0	0	rno-miR-124-3p	-0.68	-0.68	0.88	2007, 2009, 2011
CCDC177	ENST00000543986.1	coiled-coil domain containing 177 	0	2	0	1	1	0	0	0	0	0	rno-miR-124-3p	-0.67	-0.67	0.98	
VAT1	ENST00000355653.3	vesicle amine transport 1 	2844	2	1	1	0	0	0	0	0	2	rno-miR-124-3p	-0.67	-0.67	> 0.99	2007, 2009, 2011
CXorf64	ENST00000371125.3	chromosome X open reading frame 64 	5	1	1	0	0	0	0	0	0	0	rno-miR-124-3p	-0.67	-0.67	< 0.1	2011
SLC50A1	ENST00000368404.4	solute carrier family 50 (sugar efflux transporter), member 1 	3317	1	1	0	0	0	0	0	0	0	rno-miR-124-3p	-0.66	-0.66	0.89	2009, 2011
TARBP1	ENST00000040877.1	TAR (HIV-1) RNA binding protein 1 	596	1	1	0	0	0	0	0	0	0	rno-miR-124-3p	-0.66	-0.66	0.78	
XRCC6	ENST00000402580.3	X-ray repair complementing defective repair in Chinese hamster cells 6 	47	1	1	0	0	0	0	0	0	0	rno-miR-124-3p	-0.66	-0.66	0.80	2009, 2011
CBX2	ENST00000310942.4	chromobox homolog 2 	1816	2	0	2	0	2	0	0	2	4	rno-miR-124-3p	-0.66	-0.66	> 0.99	2007, 2009, 2011
CRTC3	ENST00000420329.2	CREB regulated transcription coactivator 3 	612	1	0	1	0	4	1	2	1	3	rno-miR-124-3p	-0.65	-0.65	0.88	2009, 2011
PABPC4L	ENST00000421491.3	poly(A) binding protein, cytoplasmic 4-like 	55	1	0	1	0	4	1	0	3	0	rno-miR-124-3p	-0.65	-0.82	0.70	2009, 2011
RAD51L3-RFFL	ENST00000593039.1	Uncharacterized protein  	670	1	1	0	0	0	0	0	0	2	rno-miR-124-3p	-0.64	-0.65	0.98	
MARVELD1	ENST00000285605.6	MARVEL domain containing 1 	2470	1	0	1	0	1	1	0	0	1	rno-miR-124-3p	-0.64	-0.65	0.87	2011
RNFT1	ENST00000442346.2	ring finger protein, transmembrane 1 	6	1	0	1	0	1	0	1	0	0	rno-miR-124-3p	-0.64	-0.64	ORF	
NAT8L	ENST00000331662.3	N-acetyltransferase 8-like (GCN5-related, putative) 	220	2	0	2	0	0	0	0	0	3	rno-miR-124-3p	-0.64	-0.69	> 0.99	2011
PGF	ENST00000555567.1	placental growth factor 	1745	1	1	0	0	0	0	0	0	1	rno-miR-124-3p	-0.64	-0.64	0.96	2007, 2009, 2011
VPS37C	ENST00000301765.5	vacuolar protein sorting 37 homolog C (S. cerevisiae) 	3267	2	0	2	0	0	0	0	0	0	rno-miR-124-3p	-0.63	-0.63	> 0.99	2007, 2009, 2011
SLC16A1	ENST00000369626.3	solute carrier family 16 (monocarboxylate transporter), member 1 	707	1	1	0	0	0	0	0	0	1	rno-miR-124-3p	-0.63	-0.66	0.99	2007, 2009, 2011
FA2H	ENST00000219368.3	fatty acid 2-hydroxylase 	5	1	1	0	0	1	1	0	0	1	rno-miR-124-3p	-0.62	-0.62	0.71	2007, 2009, 2011
CCDC89	ENST00000316398.3	coiled-coil domain containing 89 	11	1	1	0	0	1	0	1	0	0	rno-miR-124-3p	-0.62	-0.68	< 0.1	2009, 2011
DDX3Y	ENST00000336079.3	DEAD (Asp-Glu-Ala-Asp) box helicase 3, Y-linked 	5	2	0	2	0	0	0	0	0	0	rno-miR-124-3p	-0.61	-0.61	0.98	2007, 2009, 2011
SLC31A2	ENST00000259392.3	solute carrier family 31 (copper transporter), member 2 	110	1	1	0	0	0	0	0	0	1	rno-miR-124-3p	-0.61	-0.61	0.97	2007, 2009, 2011
CHP1	ENST00000334660.5	calcineurin-like EF-hand protein 1 	2051	1	1	0	0	0	0	0	0	2	rno-miR-124-3p	-0.61	-0.61	0.98	2007, 2009, 2011
RFFL	ENST00000315249.7	ring finger and FYVE-like domain containing E3 ubiquitin protein ligase 	670	1	1	0	0	0	0	0	0	2	rno-miR-124-3p	-0.61	-0.61	0.98	2007, 2009, 2011
CTXN1	ENST00000318978.4	cortexin 1 	405	1	0	1	0	1	0	1	0	0	rno-miR-124-3p	-0.61	-0.61	0.74	2007, 2011
MYO10	ENST00000513610.1	myosin X 	3866	2	1	0	1	0	0	0	0	1	rno-miR-124-3p	-0.60	-0.61	> 0.99	2007, 2009, 2011
PTBP1	ENST00000350092.4	polypyrimidine tract binding protein 1 	7007	1	1	0	0	0	0	0	0	2	rno-miR-124-3p	-0.60	-0.62	0.89	2007, 2009, 2011
TSPAN15	ENST00000373290.2	tetraspanin 15 	15	2	0	2	0	0	0	0	0	0	rno-miR-124-3p	-0.60	-0.60	0.99	
PCDH8	ENST00000377942.3	protocadherin 8 	11	1	1	0	0	0	0	0	0	2	rno-miR-124-3p	-0.60	-0.60	0.98	2007, 2009, 2011
CD164	ENST00000368961.5	CD164 molecule, sialomucin 	2038	2	2	0	0	0	0	0	0	0	rno-miR-124-3p	-0.60	-1.01	> 0.99	2007, 2009, 2011
MAP3K2	ENST00000409947.1	mitogen-activated protein kinase kinase kinase 2 	187	2	0	2	0	2	0	0	2	0	rno-miR-124-3p	-0.60	-0.62	0.99	2011
CBL	ENST00000264033.4	Cbl proto-oncogene, E3 ubiquitin protein ligase 	309	3	0	3	0	1	0	0	1	6	rno-miR-124-3p	-0.59	-0.59	> 0.99	2011
ACADVL	ENST00000356839.5	acyl-CoA dehydrogenase, very long chain 	1407	1	0	1	0	1	0	0	1	0	rno-miR-124-3p	-0.59	-0.59	0.91	2007, 2009, 2011
LPP	ENST00000312675.4	LIM domain containing preferred translocation partner in lipoma 	1894	1	1	0	0	3	1	1	1	7	rno-miR-124-3p	-0.59	-0.59	0.86	2007, 2009, 2011
SGPP1	ENST00000247225.6	sphingosine-1-phosphate phosphatase 1 	1340	1	0	1	0	1	0	1	0	0	rno-miR-124-3p	-0.59	-0.59	0.80	2007, 2009, 2011
ZKSCAN3	ENST00000377255.3	zinc finger with KRAB and SCAN domains 3 	63	1	0	1	0	1	1	0	0	0	rno-miR-124-3p	-0.58	-0.61	0.92	2007, 2009, 2011
LRRC1	ENST00000370888.1	leucine rich repeat containing 1 	343	2	2	0	0	0	0	0	0	1	rno-miR-124-3p	-0.58	-0.79	> 0.99	2007, 2009, 2011
PHF19	ENST00000373896.3	PHD finger protein 19 	490	2	0	2	0	0	0	0	0	2	rno-miR-124-3p	-0.58	-0.59	> 0.99	2007, 2009, 2011
PTBP2	ENST00000609116.1	polypyrimidine tract binding protein 2 	70	2	1	1	0	2	0	0	2	2	rno-miR-124-3p	-0.58	-0.74	> 0.99	2007, 2009, 2011
MYZAP	ENST00000267853.5	myocardial zonula adherens protein 	10	1	1	0	0	0	0	0	0	1	rno-miR-124-3p	-0.58	-0.58	0.81	
QKI	ENST00000392127.2	QKI, KH domain containing, RNA binding 	323	2	2	0	0	2	0	2	0	5	rno-miR-124-3p	-0.57	-0.82	> 0.99	2007, 2011
APBA3	ENST00000316757.3	amyloid beta (A4) precursor protein-binding, family A, member 3 	215	1	0	1	0	1	0	1	0	0	rno-miR-124-3p	-0.57	-0.59	0.86	2007, 2009, 2011
RFX4	ENST00000229387.5	regulatory factor X, 4 (influences HLA class II expression) 	5	2	0	2	0	0	0	0	0	1	rno-miR-124-3p	-0.57	-0.57	0.97	2007, 2009, 2011
TMEM256-PLSCR3	ENST00000324822.11	TMEM256-PLSCR3 readthrough (NMD candidate) 	976	1	1	0	0	0	0	0	0	0	rno-miR-124-3p	-0.57	-0.57	0.83	2007, 2009, 2011
C3orf38	ENST00000486971.1	chromosome 3 open reading frame 38 	683	1	1	0	0	1	0	0	1	0	rno-miR-124-3p	-0.56	-0.61	0.89	2011
PIK3C2A	ENST00000265970.7	phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2 alpha 	280	3	1	1	1	0	0	0	0	0	rno-miR-124-3p	-0.56	-0.68	> 0.99	2009, 2011
GALNT10	ENST00000297107.6	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10 (GalNAc-T10) 	3445	2	0	2	0	1	0	0	1	1	rno-miR-124-3p	-0.56	-0.56	> 0.99	2007, 2009, 2011
FRMD4B	ENST00000398540.3	FERM domain containing 4B 	12	2	1	1	0	1	1	0	0	1	rno-miR-124-3p	-0.56	-0.71	> 0.99	2009, 2011
MIB1	ENST00000261537.6	mindbomb E3 ubiquitin protein ligase 1 	897	2	0	2	0	1	0	1	0	1	rno-miR-124-3p	-0.56	-0.56	> 0.99	2011
BMP6	ENST00000283147.6	bone morphogenetic protein 6 	1070	3	1	1	1	0	0	0	0	0	rno-miR-124-3p	-0.55	-0.55	> 0.99	2007, 2009, 2011
MITF	ENST00000328528.6	microphthalmia-associated transcription factor 	593	2	1	0	1	0	0	0	0	0	rno-miR-124-3p	-0.55	-0.58	> 0.99	2011
DUSP15	ENST00000486996.1	dual specificity phosphatase 15 	10	1	1	0	0	0	0	0	0	0	rno-miR-124-3p	-0.55	-0.55	0.85	2007, 2009, 2011
CC2D1B	ENST00000371586.2	coiled-coil and C2 domain containing 1B 	42	2	0	2	0	1	0	0	1	1	rno-miR-124-3p	-0.55	-0.55	> 0.99	2007, 2009, 2011
C10orf12	ENST00000286067.2	chromosome 10 open reading frame 12 	49	1	1	0	0	0	0	0	0	1	rno-miR-124-3p	-0.55	-0.55	0.98	2007, 2009, 2011
MAPK14	ENST00000229795.3	mitogen-activated protein kinase 14 	1191	1	1	0	0	1	0	0	1	3	rno-miR-124-3p	-0.55	-0.61	0.98	2007, 2009, 2011
RAD17	ENST00000361732.2	RAD17 homolog (S. pombe) 	5	1	1	0	0	0	0	0	0	0	rno-miR-124-3p	-0.55	-0.55	0.90	2011
EYA4	ENST00000367895.5	eyes absent homolog 4 (Drosophila) 	242	2	2	0	0	1	0	0	1	2	rno-miR-124-3p	-0.55	-0.61	> 0.99	2007, 2009, 2011
PPP1R3D	ENST00000370996.3	protein phosphatase 1, regulatory subunit 3D 	132	3	0	2	1	0	0	0	0	1	rno-miR-124-3p	-0.54	-0.89	> 0.99	2007, 2009, 2011
FRMD8	ENST00000317568.5	FERM domain containing 8 	1094	1	1	0	0	0	0	0	0	1	rno-miR-124-3p	-0.54	-0.54	0.85	2009, 2011
MDK	ENST00000359803.3	midkine (neurite growth-promoting factor 2) 	3536	1	0	1	0	0	0	0	0	0	rno-miR-124-3p	-0.54	-0.54	0.90	2007, 2009, 2011
NME4	ENST00000219479.2	NME/NM23 nucleoside diphosphate kinase 4 	4249	1	0	1	0	0	0	0	0	0	rno-miR-124-3p	-0.54	-0.54	0.92	2007, 2009, 2011
SNTB2	ENST00000336278.4	syntrophin, beta 2 (dystrophin-associated protein A1, 59kDa, basic component 2) 	254	2	0	2	0	0	0	0	0	5	rno-miR-124-3p	-0.54	-0.56	> 0.99	2007, 2009, 2011
GMCL1	ENST00000282570.3	germ cell-less, spermatogenesis associated 1 	360	1	0	1	0	1	0	1	0	0	rno-miR-124-3p	-0.53	-0.56	0.94	
MAGT1	ENST00000358075.6	magnesium transporter 1 	937	2	2	0	0	0	0	0	0	1	rno-miR-124-3p	-0.53	-1.09	> 0.99	2011
TMEM134	ENST00000393877.3	transmembrane protein 134 	826	1	1	0	0	0	0	0	0	1	rno-miR-124-3p	-0.53	-0.54	0.98	2007, 2009, 2011
PTTG1IP	ENST00000397887.3	pituitary tumor-transforming 1 interacting protein 	1170	1	1	0	0	0	0	0	0	0	rno-miR-124-3p	-0.53	-0.66	0.94	2007, 2009, 2011
ASCC2	ENST00000307790.3	activating signal cointegrator 1 complex subunit 2 	139	1	1	0	0	0	0	0	0	0	rno-miR-124-3p	-0.53	-0.53	0.92	2007, 2009, 2011
TOR3A	ENST00000367627.3	torsin family 3, member A 	217	1	1	0	0	0	0	0	0	0	rno-miR-124-3p	-0.53	-0.53	0.91	2007, 2009, 2011
PTBP3	ENST00000374257.1	polypyrimidine tract binding protein 3 	214	2	1	1	0	0	0	0	0	2	rno-miR-124-3p	-0.52	-0.78	0.99	2007, 2009, 2011
RBM33	ENST00000341148.3	RNA binding motif protein 33 	444	1	1	0	0	1	0	1	0	1	rno-miR-124-3p	-0.52	-0.60	0.94	2007, 2009, 2011
STT3A	ENST00000392708.4	STT3A, subunit of the oligosaccharyltransferase complex (catalytic) 	3595	1	1	0	0	0	0	0	0	0	rno-miR-124-3p	-0.52	-0.61	0.98	2011
TMEM104	ENST00000335464.5	transmembrane protein 104 	657	2	0	2	0	0	0	0	0	0	rno-miR-124-3p	-0.52	-0.52	> 0.99	2007, 2009, 2011
PNPLA2	ENST00000336615.4	patatin-like phospholipase domain containing 2 	6586	1	1	0	0	0	0	0	0	0	rno-miR-124-3p	-0.52	-0.52	0.76	2007, 2009, 2011
CPT1A	ENST00000265641.5	carnitine palmitoyltransferase 1A (liver) 	869	2	1	1	0	0	0	0	0	1	rno-miR-124-3p	-0.52	-0.55	> 0.99	2011
RBMS1	ENST00000348849.3	RNA binding motif, single stranded interacting protein 1 	90	2	0	1	1	0	0	0	0	1	rno-miR-124-3p	-0.51	-0.52	0.98	2007, 2009, 2011
KIAA1671	ENST00000401395.1	KIAA1671 	549	3	0	1	2	0	0	0	0	2	rno-miR-124-3p	-0.51	-0.52	0.99	2011
CREBRF	ENST00000540014.1	CREB3 regulatory factor 	24	2	1	1	0	0	0	0	0	2	rno-miR-124-3p	-0.51	-0.51	> 0.99	2007, 2009, 2011
PTPN9	ENST00000306726.2	protein tyrosine phosphatase, non-receptor type 9 	644	1	1	0	0	0	0	0	0	1	rno-miR-124-3p	-0.51	-0.52	0.97	2007, 2009, 2011
CTDSPL	ENST00000443503.2	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like 	372	2	0	1	1	0	0	0	0	0	rno-miR-124-3p	-0.51	-0.58	0.99	2007, 2009, 2011
CAPN1	ENST00000533820.1	calpain 1, (mu/I) large subunit 	538	1	0	1	0	1	0	1	0	0	rno-miR-124-3p	-0.51	-0.51	0.92	2007, 2009, 2011
PGRMC2	ENST00000296425.5	progesterone receptor membrane component 2 	2089	1	1	0	0	0	0	0	0	0	rno-miR-124-3p	-0.51	-0.60	0.97	2007, 2009, 2011
TTC7A	ENST00000319190.5	tetratricopeptide repeat domain 7A 	400	1	0	1	0	3	0	3	0	1	rno-miR-124-3p	-0.51	-0.56	0.86	2007, 2009, 2011
MCUR1	ENST00000379170.4	mitochondrial calcium uniporter regulator 1 	129	1	0	1	0	3	0	2	1	0	rno-miR-124-3p	-0.51	-0.51	0.69	2011
LRRC57	ENST00000397130.3	leucine rich repeat containing 57 	168	1	1	0	0	0	0	0	0	0	rno-miR-124-3p	-0.51	-0.51	0.97	2007, 2009, 2011
KCNK10	ENST00000340700.5	potassium channel, subfamily K, member 10 	5	1	1	0	0	1	0	1	0	3	rno-miR-124-3p	-0.50	-0.50	0.99	2007, 2009, 2011
GNG10	ENST00000374293.4	guanine nucleotide binding protein (G protein), gamma 10 	407	1	0	1	0	0	0	0	0	1	rno-miR-124-3p	-0.50	-0.50	0.89	2007, 2009, 2011
NIPA1	ENST00000337435.4	non imprinted in Prader-Willi/Angelman syndrome 1 	805	2	0	1	1	0	0	0	0	0	rno-miR-124-3p	-0.50	-0.66	0.98	2007, 2009, 2011
PLP2	ENST00000376327.5	proteolipid protein 2 (colonic epithelium-enriched) 	463	1	0	1	0	0	0	0	0	0	rno-miR-124-3p	-0.50	-0.51	0.76	2007, 2009, 2011
NFIC	ENST00000589123.1	nuclear factor I/C (CCAAT-binding transcription factor) 	26	2	1	1	0	0	0	0	0	0	rno-miR-124-3p	-0.50	-0.50	> 0.99	
SIX4	ENST00000216513.4	SIX homeobox 4 	94	2	1	1	0	0	0	0	0	0	rno-miR-124-3p	-0.50	-0.59	0.99	2007, 2009, 2011
VIM	ENST00000224237.5	vimentin 	31747	1	0	1	0	0	0	0	0	0	rno-miR-124-3p	-0.50	-0.50	0.86	2007, 2009, 2011
SPOPL	ENST00000280098.4	speckle-type POZ protein-like 	216	1	0	1	0	1	0	1	0	0	rno-miR-124-3p	-0.50	-0.53	0.81	2007, 2009, 2011
THAP2	ENST00000308086.2	THAP domain containing, apoptosis associated protein 2 	109	1	1	0	0	0	0	0	0	3	rno-miR-124-3p	-0.50	-0.58	0.98	2007, 2009, 2011
BCKDHA	ENST00000269980.2	branched chain keto acid dehydrogenase E1, alpha polypeptide 	3943	1	0	1	0	0	0	0	0	1	rno-miR-124-3p	-0.50	-0.50	0.84	2007, 2011
ALG2	ENST00000476832.1	ALG2, alpha-1,3/1,6-mannosyltransferase 	1301	1	1	0	0	0	0	0	0	0	rno-miR-124-3p	-0.50	-0.57	0.85	2007, 2009, 2011
LMAN2L	ENST00000264963.4	lectin, mannose-binding 2-like 	355	2	0	1	1	0	0	0	0	0	rno-miR-124-3p	-0.49	-0.51	0.98	2007, 2009, 2011
ITPR3	ENST00000374316.5	inositol 1,4,5-trisphosphate receptor, type 3 	176	1	0	0	1	1	1	0	0	0	rno-miR-124-3p	-0.49	-0.50	0.83	2007, 2009, 2011
CTC-435M10.3	ENST00000540732.1	2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial; Uncharacterized protein  	3943	1	0	1	0	0	0	0	0	1	rno-miR-124-3p	-0.49	-0.49	0.84	
PECR	ENST00000265322.7	peroxisomal trans-2-enoyl-CoA reductase 	420	1	1	0	0	0	0	0	0	0	rno-miR-124-3p	-0.49	-0.62	0.81	2009, 2011
ITPRIP	ENST00000337478.1	inositol 1,4,5-trisphosphate receptor interacting protein 	1138	2	0	1	1	2	0	2	0	3	rno-miR-124-3p	-0.49	-0.63	0.94	2009, 2011
RARG	ENST00000425354.2	retinoic acid receptor, gamma 	21	2	0	2	0	0	0	0	0	1	rno-miR-124-3p	-0.49	-0.49	0.94	2007, 2009, 2011
PPP1R3B	ENST00000310455.3	protein phosphatase 1, regulatory subunit 3B 	20	1	0	1	0	2	0	2	0	1	rno-miR-124-3p	-0.49	-0.62	0.94	2009, 2011
RAB11FIP1	ENST00000287263.4	RAB11 family interacting protein 1 (class I) 	106	1	0	1	0	0	0	0	0	2	rno-miR-124-3p	-0.49	-0.49	0.93	2007, 2009, 2011
MANBAL	ENST00000373606.3	mannosidase, beta A, lysosomal-like 	2819	1	0	1	0	0	0	0	0	0	rno-miR-124-3p	-0.49	-0.49	0.48	2007, 2009, 2011
TFEB	ENST00000230323.4	transcription factor EB 	5	1	0	1	0	0	0	0	0	1	rno-miR-124-3p	-0.49	-0.49	0.88	2007, 2009, 2011
DENND6A	ENST00000311128.5	DENN/MADD domain containing 6A 	139	2	0	2	0	0	0	0	0	0	rno-miR-124-3p	-0.49	-0.52	0.98	2007, 2009, 2011
SDF2L1	ENST00000248958.4	stromal cell-derived factor 2-like 1 	1236	1	0	1	0	0	0	0	0	0	rno-miR-124-3p	-0.49	-0.49	0.82	2007, 2009, 2011
CTDSP2	ENST00000398073.2	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2 	991	2	0	1	1	0	0	0	0	1	rno-miR-124-3p	-0.49	-0.49	0.99	2007
TMEM109	ENST00000227525.3	transmembrane protein 109 	4675	1	1	0	0	0	0	0	0	0	rno-miR-124-3p	-0.48	-0.48	0.97	2007, 2009, 2011
DNAJB14	ENST00000442697.2	DnaJ (Hsp40) homolog, subfamily B, member 14 	10	1	0	1	0	1	0	1	0	1	rno-miR-124-3p	-0.48	-0.48	0.93	2007, 2009, 2011
POLR3G	ENST00000504930.1	polymerase (RNA) III (DNA directed) polypeptide G (32kD) 	67	1	1	0	0	0	0	0	0	0	rno-miR-124-3p	-0.48	-0.48	0.90	2007, 2009, 2011
ZADH2	ENST00000322342.3	zinc binding alcohol dehydrogenase domain containing 2 	207	1	0	0	1	3	1	1	1	1	rno-miR-124-3p	-0.48	-0.63	0.86	
FBXO38	ENST00000340253.5	F-box protein 38 	673	1	0	1	0	0	0	0	0	1	rno-miR-124-3p	-0.48	-0.48	0.81	2007, 2009, 2011
CNEP1R1	ENST00000458059.3	CTD nuclear envelope phosphatase 1 regulatory subunit 1 	546	1	0	1	0	1	0	1	0	0	rno-miR-124-3p	-0.48	-0.48	0.66	2007, 2009, 2011
ARPC1B	ENST00000252725.5	actin related protein 2/3 complex, subunit 1B, 41kDa 	62	1	0	1	0	0	0	0	0	0	rno-miR-124-3p	-0.48	-0.50	0.67	2009, 2011
SLC9A9	ENST00000316549.6	solute carrier family 9, subfamily A (NHE9, cation proton antiporter 9), member 9 	5	1	0	1	0	1	0	1	0	0	rno-miR-124-3p	-0.48	-0.48	0.89	2007, 2009, 2011
GAMT	ENST00000252288.2	guanidinoacetate N-methyltransferase 	12541	1	0	1	0	0	0	0	0	0	rno-miR-124-3p	-0.47	-0.47	0.41	2011
ITGA7	ENST00000553804.1	integrin, alpha 7 	100	1	1	0	0	0	0	0	0	0	rno-miR-124-3p	-0.47	-0.47	0.94	2007, 2009, 2011
