Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
ONECUT2	ENST00000491143.2	one cut homeobox 2 	847	14	7	4	3	3	1	2	0	5	rno-miR-9a-5p	-4.88	-5.70	> 0.99	2003, 2007, 2009, 2011
YBX3	ENST00000279550.7	Y box binding protein 3 	631	2	2	0	0	0	0	0	0	0	rno-miR-9a-5p	-1.27	-1.29	0.92	2005, 2007, 2009, 2011
ONECUT3	ENST00000382349.4	one cut homeobox 3 	5	3	3	0	0	1	0	0	1	2	rno-miR-9a-5p	-1.18	-1.18	> 0.99	
AP1S2	ENST00000329235.2	adaptor-related protein complex 1, sigma 2 subunit 	357	2	2	0	0	0	0	0	0	1	rno-miR-9a-5p	-1.07	-1.11	> 0.99	2005, 2007, 2009, 2011
ONECUT1	ENST00000560699.2	one cut homeobox 1 	10	13	8	4	1	1	0	1	0	2	rno-miR-9a-5p	-1.07	-4.40	> 0.99	2003, 2005, 2007, 2009, 2011
CHST9	ENST00000580774.1	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 9 	20	1	0	1	0	2	1	1	0	3	rno-miR-9a-5p	-0.79	-0.79	< 0.1	
POU2F1	ENST00000367866.2	POU class 2 homeobox 1 	83	6	4	2	0	4	0	2	2	4	rno-miR-9a-5p	-0.79	-0.85	> 0.99	2011
C2ORF15	ENST00000302513.2	Uncharacterized protein C2orf15  	166	1	1	0	0	0	0	0	0	1	rno-miR-9a-5p	-0.76	-0.76	< 0.1	2009, 2011
POU6F2	ENST00000518318.2	POU class 6 homeobox 2 	5	4	0	3	1	0	0	0	0	1	rno-miR-9a-5p	-0.70	-0.70	> 0.99	
C9orf89	ENST00000375464.2	chromosome 9 open reading frame 89 	435	1	1	0	0	0	0	0	0	0	rno-miR-9a-5p	-0.69	-0.69	0.68	2009, 2011
PRDM6	ENST00000407847.4	PR domain containing 6 	69	2	1	1	0	1	0	0	1	1	rno-miR-9a-5p	-0.68	-0.69	> 0.99	2011
PDK4	ENST00000005178.5	pyruvate dehydrogenase kinase, isozyme 4 	5549	1	1	0	0	1	0	1	0	0	rno-miR-9a-5p	-0.64	-0.64	0.77	2005, 2007, 2009, 2011
LDLRAP1	ENST00000374338.4	low density lipoprotein receptor adaptor protein 1 	111	2	1	1	0	1	0	1	0	0	rno-miR-9a-5p	-0.63	-0.63	0.99	2011
KCNJ2	ENST00000243457.3	potassium inwardly-rectifying channel, subfamily J, member 2 	5	2	2	0	0	2	0	1	1	1	rno-miR-9a-5p	-0.60	-0.60	0.99	2011
TNC	ENST00000340094.3	tenascin C 	4571	2	1	1	0	0	0	0	0	0	rno-miR-9a-5p	-0.59	-0.59	> 0.99	
RNF146	ENST00000356799.2	ring finger protein 146 	1504	1	1	0	0	0	0	0	0	1	rno-miR-9a-5p	-0.59	-0.59	ORF	
LIN28B	ENST00000345080.4	lin-28 homolog B (C. elegans) 	118	3	0	3	0	0	0	0	0	0	rno-miR-9a-5p	-0.58	-0.58	> 0.99	2007, 2009, 2011
PPCS	ENST00000372556.3	phosphopantothenoylcysteine synthetase 	491	1	1	0	0	0	0	0	0	1	rno-miR-9a-5p	-0.58	-0.58	ORF	
RAB34	ENST00000447716.1	RAB34, member RAS oncogene family 	880	1	1	0	0	1	0	0	1	0	rno-miR-9a-5p	-0.58	-0.58	0.88	2005, 2007, 2009, 2011
GREB1	ENST00000381486.2	growth regulation by estrogen in breast cancer 1 	40	1	0	0	1	2	2	0	0	2	rno-miR-9a-5p	-0.58	-0.64	0.83	
IPO4	ENST00000354464.6	importin 4 	811	1	1	0	0	0	0	0	0	0	rno-miR-9a-5p	-0.56	-0.56	0.87	2007, 2009, 2011
CALB2	ENST00000349553.5	calbindin 2 	5	1	1	0	0	0	0	0	0	0	rno-miR-9a-5p	-0.56	-0.56	0.92	2009, 2011
RANBP17	ENST00000523189.1	RAN binding protein 17 	156	1	1	0	0	0	0	0	0	1	rno-miR-9a-5p	-0.55	-0.55	0.94	2005, 2007, 2009, 2011
SLC2A2	ENST00000314251.3	solute carrier family 2 (facilitated glucose transporter), member 2 	5	1	1	0	0	0	0	0	0	0	rno-miR-9a-5p	-0.54	-0.54	< 0.1	2009, 2011
