Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
FOXJ3	ENST00000372571.1	forkhead box J3 	329	2	2	0	0	0	0	0	0	0	rno-miR-219a-5p	-1.13	-1.15	0.98	2005, 2007, 2009, 2011
ZBTB18	ENST00000358704.4	zinc finger and BTB domain containing 18 	935	2	2	0	0	0	0	0	0	0	rno-miR-219a-5p	-0.92	-0.95	> 0.99	2005, 2007, 2009, 2011
RORB	ENST00000376896.3	RAR-related orphan receptor B 	5	3	3	0	0	0	0	0	0	0	rno-miR-219a-5p	-0.85	-0.85	> 0.99	2005, 2007, 2009, 2011
BBS4	ENST00000268057.4	Bardet-Biedl syndrome 4 	121	1	1	0	0	1	0	1	0	0	rno-miR-219a-5p	-0.85	-0.85	< 0.1	2011
CC2D1A	ENST00000318003.7	coiled-coil and C2 domain containing 1A 	22	2	2	0	0	0	0	0	0	0	rno-miR-219a-5p	-0.70	-0.70	0.86	2007, 2009, 2011
GXYLT1	ENST00000398675.3	glucoside xylosyltransferase 1 	126	2	1	1	0	0	0	0	0	0	rno-miR-219a-5p	-0.65	-0.65	> 0.99	2009, 2011
SLC31A1	ENST00000374212.4	solute carrier family 31 (copper transporter), member 1 	171	1	1	0	0	0	0	0	0	0	rno-miR-219a-5p	-0.55	-0.55	0.92	2005, 2007, 2009, 2011
DOK6	ENST00000382713.5	docking protein 6 	8	1	1	0	0	2	0	0	2	1	rno-miR-219a-5p	-0.54	-0.54	0.80	2011
GBA2	ENST00000378103.3	glucosidase, beta (bile acid) 2 	19	1	1	0	0	0	0	0	0	0	rno-miR-219a-5p	-0.52	-0.52	0.79	2005, 2007, 2009, 2011
ELMOD2	ENST00000323570.3	ELMO/CED-12 domain containing 2 	32	2	1	1	0	1	0	0	1	0	rno-miR-219a-5p	-0.52	-0.81	0.99	2005, 2007, 2009, 2011
SYT5	ENST00000590851.1	synaptotagmin V 	5	1	1	0	0	0	0	0	0	0	rno-miR-219a-5p	-0.52	-0.52	0.92	2005, 2007, 2009, 2011
RASSF3	ENST00000542104.1	Ras association (RalGDS/AF-6) domain family member 3 	461	1	0	1	0	1	1	0	0	0	rno-miR-219a-5p	-0.52	-0.55	0.91	2011
OTX2	ENST00000339475.5	orthodenticle homeobox 2 	5	1	1	0	0	0	0	0	0	0	rno-miR-219a-5p	-0.52	-0.52	0.91	2005, 2007, 2009, 2011
TMEM98	ENST00000579849.1	transmembrane protein 98 	98	1	1	0	0	0	0	0	0	0	rno-miR-219a-5p	-0.50	-0.56	0.89	2009, 2011
DAZAP1	ENST00000336761.6	DAZ associated protein 1 	3500	1	1	0	0	0	0	0	0	0	rno-miR-219a-5p	-0.50	-0.50	0.88	2005, 2007, 2009, 2011
ISL1	ENST00000230658.7	ISL LIM homeobox 1 	67	1	1	0	0	0	0	0	0	0	rno-miR-219a-5p	-0.49	-0.49	0.90	2005, 2007, 2009, 2011
CCDC28A	ENST00000332797.6	coiled-coil domain containing 28A 	543	1	1	0	0	0	0	0	0	0	rno-miR-219a-5p	-0.49	-0.49	< 0.1	2007, 2009, 2011
CXXC5	ENST00000302517.3	CXXC finger protein 5 	1285	1	1	0	0	0	0	0	0	0	rno-miR-219a-5p	-0.48	-0.49	0.89	2005, 2007
EYA2	ENST00000327619.5	eyes absent homolog 2 (Drosophila) 	15	1	1	0	0	0	0	0	0	0	rno-miR-219a-5p	-0.48	-0.48	0.54	2005, 2007, 2009, 2011
LAPTM4A	ENST00000175091.4	lysosomal protein transmembrane 4 alpha 	4481	1	0	1	0	0	0	0	0	0	rno-miR-219a-5p	-0.47	-0.48	0.68	2005, 2007, 2009, 2011
KCNA4	ENST00000328224.6	potassium voltage-gated channel, shaker-related subfamily, member 4 	5	1	1	0	0	0	0	0	0	0	rno-miR-219a-5p	-0.47	-0.47	0.88	2011
UBASH3B	ENST00000284273.5	ubiquitin associated and SH3 domain containing B 	281	1	1	0	0	0	0	0	0	0	rno-miR-219a-5p	-0.46	-0.53	0.93	2005, 2007, 2009, 2011
TGFBR2	ENST00000359013.4	transforming growth factor, beta receptor II (70/80kDa) 	2168	1	1	0	0	0	0	0	0	0	rno-miR-219a-5p	-0.46	-0.46	0.91	2007, 2009, 2011
DNAJC6	ENST00000395325.3	DnaJ (Hsp40) homolog, subfamily C, member 6 	96	1	1	0	0	1	0	0	1	0	rno-miR-219a-5p	-0.46	-0.46	0.90	2005, 2007, 2009, 2011
NEK6	ENST00000373603.1	NIMA-related kinase 6 	3449	1	0	1	0	1	0	0	1	0	rno-miR-219a-5p	-0.43	-0.43	0.30	2005, 2007
