Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
Onecut2	ENSMUST00000175965.3	one cut domain, family member 2 	387	14	8	3	3	3	0	2	1	2	mmu-miR-9-5p	-7.53	-11.05	> 0.99	2007, 2009, 2011
Erg	ENSMUST00000113846.4	avian erythroblastosis virus E-26 (v-ets) oncogene related 	581	1	0	0	1	3	2	1	0	0	mmu-miR-9-5p	-2.49	-2.49	0.78	2005, 2007, 2009, 2011
Onecut1	ENSMUST00000056006.10	one cut domain, family member 1 	487	12	8	3	1	1	0	1	0	2	mmu-miR-9-5p	-1.80	-4.19	> 0.99	2005, 2007
Gm6970	ENSMUST00000169692.1	predicted gene 6970 	5	1	1	0	0	2	1	0	1	0	mmu-miR-9-5p	-1.75	-1.75	< 0.1	
Ybx3	ENSMUST00000032309.7	Y box protein 3 	3008	2	2	0	0	1	0	0	1	0	mmu-miR-9-5p	-1.31	-1.32	> 0.99	2007, 2009, 2011
Slc39a1	ENSMUST00000015467.8	solute carrier family 39 (zinc transporter), member 1 	17	1	1	0	0	1	0	0	1	0	mmu-miR-9-5p	-1.16	-1.16	< 0.1	2005, 2007, 2009, 2011
Sord	ENSMUST00000110551.3	sorbitol dehydrogenase 	1748	1	1	0	0	1	0	0	1	0	mmu-miR-9-5p	-1.12	-1.14	< 0.1	2005, 2007, 2009, 2011
Onecut3	ENSMUST00000051773.8	one cut domain, family member 3 	5	3	3	0	0	0	0	0	0	3	mmu-miR-9-5p	-1.06	-1.06	> 0.99	2009, 2011
Lifr	ENSMUST00000171588.1	leukemia inhibitory factor receptor 	3637	1	0	0	1	1	1	0	0	3	mmu-miR-9-5p	-1.01	-1.11	0.79	2005, 2007, 2009, 2011
Ift52	ENSMUST00000018002.7	intraflagellar transport 52 	1262	1	1	0	0	0	0	0	0	1	mmu-miR-9-5p	-1.00	-1.04	< 0.1	2009, 2011
Csnk1a1	ENSMUST00000165123.2	casein kinase 1, alpha 1 	13682	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.99	-0.99	0.98	2005, 2007, 2009, 2011
Tgfbi	ENSMUST00000045173.8	transforming growth factor, beta induced 	158	1	1	0	0	2	1	0	1	0	mmu-miR-9-5p	-0.97	-1.04	0.42	2005, 2007, 2009, 2011
