Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
Slc5a7	ENSMUST00000095712.3	solute carrier family 5 (choline transporter), member 7 	17	3	3	0	0	0	mmu-miR-338-5p	-2.15	-2.15	N/A
Gm4767	ENSMUST00000188096.1	predicted gene 4767 	5	3	2	0	1	2	mmu-miR-338-5p	-1.81	-1.81	N/A
Rab1	ENSMUST00000020358.6	RAB1, member RAS oncogene family 	25806	3	2	0	1	2	mmu-miR-338-5p	-1.81	-2.15	N/A
Ikzf1	ENSMUST00000076700.5	IKAROS family zinc finger 1 	174	4	2	1	1	0	mmu-miR-338-5p	-1.57	-1.93	N/A
Cntnap5c	ENSMUST00000076038.5	contactin associated protein-like 5C 	0	4	1	2	1	2	mmu-miR-338-5p	-1.52	-1.52	N/A
Vma21	ENSMUST00000114577.2	VMA21 vacuolar H+-ATPase homolog (S. cerevisiae) 	350	3	2	1	0	2	mmu-miR-338-5p	-1.35	-1.70	N/A
Hnf4g	ENSMUST00000017832.9	hepatocyte nuclear factor 4, gamma 	34	4	0	1	3	2	mmu-miR-338-5p	-1.25	-1.28	N/A
Tvp23b	ENSMUST00000014321.4	trans-golgi network vesicle protein 23B 	1145	3	1	0	2	0	mmu-miR-338-5p	-1.19	-1.24	N/A
Lmtk2	ENSMUST00000041804.7	lemur tyrosine kinase 2 	931	2	1	1	0	1	mmu-miR-338-5p	-1.12	-1.13	N/A
Cntnap5a	ENSMUST00000043725.8	contactin associated protein-like 5A 	21	4	1	2	1	1	mmu-miR-338-5p	-1.11	-1.65	N/A
Gm15319	ENSMUST00000084046.5	predicted gene 15319 	5	2	2	0	0	0	mmu-miR-338-5p	-1.10	-1.10	N/A
Gm2007	ENSMUST00000178133.2	predicted gene 2007 	0	4	0	2	2	3	mmu-miR-338-5p	-1.10	-1.10	N/A
Gm11007	ENSMUST00000178120.2	predicted gene 11007 	0	4	0	2	2	3	mmu-miR-338-5p	-1.10	-1.10	N/A
Pde4d	ENSMUST00000120664.2	phosphodiesterase 4D, cAMP specific 	1752	2	1	1	0	1	mmu-miR-338-5p	-1.07	-1.07	N/A
Mtx3	ENSMUST00000076169.3	metaxin 3 	491	2	1	0	1	5	mmu-miR-338-5p	-1.05	-1.11	N/A
Jam2	ENSMUST00000114195.2	junction adhesion molecule 2 	1676	1	1	0	0	1	mmu-miR-338-5p	-1.01	-1.05	N/A
Irf6	ENSMUST00000076521.5	interferon regulatory factor 6 	363	1	1	0	0	0	mmu-miR-338-5p	-0.99	-0.99	N/A
Tmem117	ENSMUST00000080141.4	transmembrane protein 117 	147	2	1	0	1	0	mmu-miR-338-5p	-0.96	-1.01	N/A
Skint3	ENSMUST00000038455.6	selection and upkeep of intraepithelial T cells 3 	5	4	0	0	4	1	mmu-miR-338-5p	-0.96	-0.96	N/A
Irak1bp1	ENSMUST00000113245.3	interleukin-1 receptor-associated kinase 1 binding protein 1 	121	1	1	0	0	0	mmu-miR-338-5p	-0.96	-0.96	N/A
Cul4a	ENSMUST00000016680.8	cullin 4A 	3683	0	0	0	0	1	mmu-miR-338-5p	-0.94	-1.05	N/A
Abtb2	ENSMUST00000076212.3	ankyrin repeat and BTB (POZ) domain containing 2 	378	0	0	0	0	1	mmu-miR-338-5p	-0.91	-0.96	N/A
Nck2	ENSMUST00000086421.5	non-catalytic region of tyrosine kinase adaptor protein 2 	252	1	1	0	0	0	mmu-miR-338-5p	-0.91	-0.94	N/A
Ccnt1	ENSMUST00000169707.2	cyclin T1 	859	2	1	1	0	0	mmu-miR-338-5p	-0.91	-0.92	N/A
Klf11	ENSMUST00000020982.5	Kruppel-like factor 11 	329	3	1	2	0	0	mmu-miR-338-5p	-0.89	-1.16	N/A
Dazl	ENSMUST00000010736.7	deleted in azoospermia-like 	10	2	1	0	1	0	mmu-miR-338-5p	-0.87	-0.87	N/A
Fam150a	ENSMUST00000133144.2	family with sequence similarity 150, member A 	19	3	2	1	0	0	mmu-miR-338-5p	-0.84	-0.84	N/A
Dmxl1	ENSMUST00000041772.5	Dmx-like 1 	1153	1	1	0	0	2	mmu-miR-338-5p	-0.84	-0.95	N/A
Trav7n-6	ENSMUST00000178100.1	T cell receptor alpha variable 7N-6 	5	1	1	0	0	0	mmu-miR-338-5p	-0.82	-0.82	N/A
Gpm6b	ENSMUST00000112235.2	glycoprotein m6b 	415	1	1	0	0	2	mmu-miR-338-5p	-0.82	-0.91	N/A
Ccr9	ENSMUST00000180093.1	chemokine (C-C motif) receptor 9 	22	1	1	0	0	1	mmu-miR-338-5p	-0.82	-0.89	N/A
Cul3	ENSMUST00000163119.2	cullin 3 	2804	3	1	0	2	1	mmu-miR-338-5p	-0.82	-0.94	N/A
Fzd7	ENSMUST00000114246.3	frizzled homolog 7 (Drosophila) 	197	2	1	0	1	0	mmu-miR-338-5p	-0.82	-1.01	N/A
Axin1	ENSMUST00000074370.4	axin 1 	10	1	1	0	0	0	mmu-miR-338-5p	-0.81	-0.81	N/A
Lcor	ENSMUST00000067795.6	ligand dependent nuclear receptor corepressor 	127	3	0	1	2	5	mmu-miR-338-5p	-0.81	-0.97	N/A
Map7	ENSMUST00000116259.3	microtubule-associated protein 7 	1064	1	1	0	0	0	mmu-miR-338-5p	-0.80	-0.85	N/A
Rab28	ENSMUST00000031011.8	RAB28, member RAS oncogene family 	272	2	2	0	0	0	mmu-miR-338-5p	-0.80	-0.81	N/A
Gm3893	ENSMUST00000178882.1	predicted gene 3893 	0	1	1	0	0	0	mmu-miR-338-5p	-0.79	-0.79	N/A
Fsbp	ENSMUST00000180239.1	fibrinogen silencer binding protein 	235	2	1	1	0	0	mmu-miR-338-5p	-0.78	-1.08	N/A
Syncrip	ENSMUST00000174391.2	synaptotagmin binding, cytoplasmic RNA interacting protein 	2608	2	1	1	0	2	mmu-miR-338-5p	-0.77	-0.99	N/A
Pnpla1	ENSMUST00000114737.2	patatin-like phospholipase domain containing 1 	5	1	1	0	0	0	mmu-miR-338-5p	-0.77	-0.77	N/A
Gm2163	ENSMUST00000179734.1	predicted gene 2163 	5	1	1	0	0	0	mmu-miR-338-5p	-0.76	-0.76	N/A
Stag2	ENSMUST00000115073.3	stromal antigen 2 	3749	2	0	1	1	1	mmu-miR-338-5p	-0.76	-0.80	N/A
Sprr2a1	ENSMUST00000074449.5	small proline-rich protein 2A1 	5	1	1	0	0	0	mmu-miR-338-5p	-0.74	-0.74	N/A
Zfp87	ENSMUST00000181573.1	zinc finger protein 87 	177	1	1	0	0	0	mmu-miR-338-5p	-0.74	-0.75	N/A
Sypl	ENSMUST00000076698.6	synaptophysin-like protein 	1404	2	0	2	0	2	mmu-miR-338-5p	-0.74	-0.89	N/A
Baz1b	ENSMUST00000002825.5	bromodomain adjacent to zinc finger domain, 1B 	1197	1	1	0	0	0	mmu-miR-338-5p	-0.73	-0.74	N/A
Slco1b2	ENSMUST00000042812.6	solute carrier organic anion transporter family, member 1b2 	4285	1	1	0	0	0	mmu-miR-338-5p	-0.73	-0.74	N/A
Dvl3	ENSMUST00000171572.2	dishevelled 3, dsh homolog (Drosophila) 	425	1	1	0	0	0	mmu-miR-338-5p	-0.72	-0.74	N/A
Cpne9	ENSMUST00000041203.5	copine family member IX 	6	1	1	0	0	0	mmu-miR-338-5p	-0.70	-0.85	N/A
Kcna2	ENSMUST00000038695.1	potassium voltage-gated channel, shaker-related subfamily, member 2 	106	1	1	0	0	3	mmu-miR-338-5p	-0.69	-0.74	N/A
Efcab14	ENSMUST00000074425.7	EF-hand calcium binding domain 14 	780	1	1	0	0	2	mmu-miR-338-5p	-0.68	-0.92	N/A
E130309F12Rik	ENSMUST00000076670.2	RIKEN cDNA E130309F12 gene 	5	1	1	0	0	0	mmu-miR-338-5p	-0.66	-0.66	N/A
Gm10600	ENSMUST00000117202.2	predicted gene 10600 	5	1	1	0	0	0	mmu-miR-338-5p	-0.66	-0.66	N/A
Wif1	ENSMUST00000020439.5	Wnt inhibitory factor 1 	137	3	2	1	0	1	mmu-miR-338-5p	-0.66	-0.66	N/A
Bach2	ENSMUST00000171600.1	BTB and CNC homology 2 	72	1	1	0	0	1	mmu-miR-338-5p	-0.66	-0.74	N/A
Sfmbt2	ENSMUST00000041105.6	Scm-like with four mbt domains 2 	19	1	1	0	0	1	mmu-miR-338-5p	-0.65	-0.65	N/A
Chn2	ENSMUST00000067741.7	chimerin 2 	485	1	1	0	0	0	mmu-miR-338-5p	-0.64	-0.84	N/A
Nkap	ENSMUST00000016553.4	NFKB activating protein 	757	2	0	1	1	2	mmu-miR-338-5p	-0.62	-0.66	N/A
Vamp4	ENSMUST00000150040.2	vesicle-associated membrane protein 4 	805	1	1	0	0	0	mmu-miR-338-5p	-0.61	-0.84	N/A
Crxos	ENSMUST00000150050.2	cone-rod homeobox, opposite strand 	5	2	0	1	1	0	mmu-miR-338-5p	-0.60	-0.60	N/A
Znrf2	ENSMUST00000079869.7	zinc and ring finger 2 	2629	1	1	0	0	2	mmu-miR-338-5p	-0.60	-0.80	N/A
Olfr1507	ENSMUST00000073571.3	olfactory receptor 1507 	5	1	1	0	0	0	mmu-miR-338-5p	-0.59	-0.59	N/A
Tbck	ENSMUST00000169172.2	TBC1 domain containing kinase 	414	4	2	2	0	6	mmu-miR-338-5p	-0.59	-1.25	N/A
Trp53bp2	ENSMUST00000117245.1	transformation related protein 53 binding protein 2 	2833	2	0	0	2	1	mmu-miR-338-5p	-0.58	-0.58	N/A
Carf	ENSMUST00000187978.1	calcium response factor 	76	1	1	0	0	0	mmu-miR-338-5p	-0.57	-0.74	N/A
Xk	ENSMUST00000015486.6	Kell blood group precursor (McLeod phenotype) homolog 	82	2	1	1	0	2	mmu-miR-338-5p	-0.57	-1.05	N/A
Vmn1r67	ENSMUST00000055964.5	vomeronasal 1 receptor 67 	5	1	1	0	0	0	mmu-miR-338-5p	-0.56	-0.56	N/A
Nell2	ENSMUST00000166170.2	NEL-like 2 	7	3	1	2	0	2	mmu-miR-338-5p	-0.56	-1.42	N/A
Tec	ENSMUST00000071944.7	tec protein tyrosine kinase 	149	2	2	0	0	0	mmu-miR-338-5p	-0.56	-0.56	N/A
2610001J05Rik	ENSMUST00000139231.1	RIKEN cDNA 2610001J05 gene 	3337	3	1	1	1	2	mmu-miR-338-5p	-0.56	-0.76	N/A
Dmd	ENSMUST00000114000.2	dystrophin, muscular dystrophy 	424	2	0	1	1	1	mmu-miR-338-5p	-0.55	-0.67	N/A
Pafah1b1	ENSMUST00000021091.9	platelet-activating factor acetylhydrolase, isoform 1b, subunit 1 	5902	2	0	1	1	0	mmu-miR-338-5p	-0.55	-0.64	N/A
Ss18l1	ENSMUST00000041126.8	synovial sarcoma translocation gene on chromosome 18-like 1 	91	2	0	1	1	0	mmu-miR-338-5p	-0.54	-0.58	N/A
Mtfr2	ENSMUST00000169712.1	mitochondrial fission regulator 2 	52	2	0	1	1	0	mmu-miR-338-5p	-0.54	-0.74	N/A
Kcnmb2	ENSMUST00000119970.2	potassium large conductance calcium-activated channel, subfamily M, beta member 2 	31	2	1	1	0	0	mmu-miR-338-5p	-0.54	-0.71	N/A
Pex7	ENSMUST00000020182.9	peroxisomal biogenesis factor 7 	598	4	2	1	1	0	mmu-miR-338-5p	-0.53	-0.57	N/A
Depdc1a	ENSMUST00000120272.2	DEP domain containing 1a 	29	1	1	0	0	0	mmu-miR-338-5p	-0.52	-0.85	N/A
Rheb	ENSMUST00000030787.8	Ras homolog enriched in brain 	6916	1	1	0	0	0	mmu-miR-338-5p	-0.52	-0.52	N/A
Nipal1	ENSMUST00000087212.3	NIPA-like domain containing 1 	292	1	0	1	0	1	mmu-miR-338-5p	-0.51	-0.52	N/A
Paqr9	ENSMUST00000079597.6	progestin and adipoQ receptor family member IX 	1329	4	0	3	1	2	mmu-miR-338-5p	-0.50	-0.94	N/A
Pi4k2b	ENSMUST00000031081.5	phosphatidylinositol 4-kinase type 2 beta 	416	2	1	1	0	0	mmu-miR-338-5p	-0.50	-0.55	N/A
